timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-12-03T11:12:46,codecarbon,fba982e8-ce9b-4bef-9de1-7f23ba96c314,7.812058687210083,5.532837545002157e-07,7.082432130291764e-08,42.5,0.0,64.76960134506226,9.22209416826566e-05,0,0.0001405232174842,0.0002327441591669,Canada,CAN,quebec,,,Linux-5.15.113-18826-x86_64-with-glibc2.31,3.10.12,2.3.2,60,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,,,-71.2,46.8,172.71893692016602,machine,N,1.0
2023-12-03T11:13:22,codecarbon,af74ecef-8644-44d2-a880-551581cc40fe,7.770123243331909,5.503077418146984e-07,7.082355383319774e-08,42.5,0.0,64.76960134506226,9.172845714622074e-05,0,0.0001397638135194,0.0002314922706657,Canada,CAN,quebec,,,Linux-5.15.113-18826-x86_64-with-glibc2.31,3.10.12,2.3.2,60,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,,,-71.2,46.8,172.71893692016602,machine,N,1.0
2023-12-03T11:13:51,codecarbon,d7cf2563-4e29-44c1-93b8-2414c8fe003a,0.0029244422912597,1.5386746364275022e-10,5.2614293023531874e-08,42.5,0.0,64.76960134506226,3.1211806668175594e-08,0,3.35140291392122e-08,6.47258358073878e-08,Canada,CAN,quebec,,,Linux-5.15.113-18826-x86_64-with-glibc2.31,3.10.12,2.3.2,60,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,,,-71.2,46.8,172.71893692016602,machine,N,1.0
2023-12-03T11:13:58,codecarbon,383e8a55-ebf8-47f5-af0a-d68746c49c3a,7.409143924713135,5.24776097756597e-07,7.082816896108751e-08,42.5,0.0,64.76960134506226,8.746754311852985e-05,0,0.0001332845946946,0.0002207521378132,Canada,CAN,quebec,,,Linux-5.15.113-18826-x86_64-with-glibc2.31,3.10.12,2.3.2,60,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,,,-71.2,46.8,172.71893692016602,machine,N,1.0
2023-12-03T11:14:32,codecarbon,27524d00-81cc-4c8c-ac3e-0a854bcc6b1c,0.1627554893493652,1.1485370716288145e-08,7.056825402450205e-08,42.5,0.0,64.76960134506226,1.9199497169918484e-06,0,2.9114824881654044e-06,4.831432205157253e-06,Canada,CAN,quebec,,,Linux-5.15.113-18826-x86_64-with-glibc2.31,3.10.12,2.3.2,60,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,,,-71.2,46.8,172.71893692016602,machine,N,1.0
2023-12-03T11:14:51,codecarbon,07060954-5d89-4b81-b8e4-d7dfe834a280,8.08775544166565,5.728413700319654e-07,7.082822597242016e-08,42.5,0.0,64.76960134506226,9.547876864671709e-05,0,0.0001454924905303,0.000240971259177,Canada,CAN,quebec,,,Linux-5.15.113-18826-x86_64-with-glibc2.31,3.10.12,2.3.2,60,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,,,-71.2,46.8,172.71893692016602,machine,N,1.0
2023-12-03T11:15:15,codecarbon,354adb2a-bd6c-4321-a237-edac29ee302e,7.651443958282471,5.419073181618337e-07,7.082418967144554e-08,42.5,0.0,64.76960134506226,9.032794237136842e-05,0,0.0001376306088893,0.0002279585512607,Canada,CAN,quebec,,,Linux-5.15.113-18826-x86_64-with-glibc2.31,3.10.12,2.3.2,60,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,,,-71.2,46.8,172.71893692016602,machine,N,1.0
2023-12-03T11:16:32,codecarbon,2b05598c-595d-4321-9063-bf9f36809ca6,0.1607356071472168,1.1345753593907418e-08,7.058643567082129e-08,42.5,0.0,64.76960134506226,1.8960278895166183e-06,0,2.876673023623653e-06,4.772700913140272e-06,Canada,CAN,quebec,,,Linux-5.15.113-18826-x86_64-with-glibc2.31,3.10.12,2.3.2,60,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,,,-71.2,46.8,172.71893692016602,machine,N,1.0
2023-12-03T11:17:06,codecarbon,1f212be9-6e4f-4bc4-b531-fbd6120d08a2,8.13436770439148,5.760717487429668e-07,7.081948710432214e-08,42.5,0.0,64.76960134506226,9.602349897225698e-05,0,0.0001463066502331,0.0002423301492054,Canada,CAN,quebec,,,Linux-5.15.113-18826-x86_64-with-glibc2.31,3.10.12,2.3.2,60,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,,,-71.2,46.8,172.71893692016602,machine,N,1.0
2023-12-03T11:53:09,codecarbon,bd05ea69-f9fc-4c7a-a26d-52ee14cc082d,0.022256851196289,1.4900373602241351e-09,6.694735688723896e-08,42.5,0.0,64.76960134506226,2.596499191390144e-07,0,3.671486985899719e-07,6.267986177289862e-07,Canada,CAN,quebec,,,Linux-5.15.113-18826-x86_64-with-glibc2.31,3.10.12,2.3.2,60,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,,,-71.2,46.8,172.71893692016602,machine,N,1.0
